ObjectID,Pair,i,j,Distance_Meters_dij,dij,popi,popj,pij20,pij60,pij140,Mij_10%_20mi,Mij_10%_60mi,Mij_10%_140mi,Mij_30%_20mi,Mij_30%_60mi,Mij_30%_140mi,Mij_50%_20mi,Mij_50%_60mi,Mij_50%_140mi,Real_mij,Mij_R
9496,57 - 59,57,59,33299.32,20.69,5385,16299,0,0.008432722,0.007395443,0,5,4,0,14,12,0,23,20,0,0
9497,57 - 96,57,96,33410.73,20.76,5385,26054,0,0.013434779,0.011782215,0,7,6,0,22,19,0,36,32,0,0
9498,57 - 49,57,49,34463.04,21.41,5385,1790,0,0.000894832,0.000784762,0,0,0,0,1,1,0,2,2,0,0
9499,57 - 46,57,46,35920.03,22.32,5385,8280,0,0.003971328,0.003482829,0,2,2,0,6,6,0,11,9,0,0
9500,57 - 93,57,93,36220.10,22.51,5385,20145,0,0.00958208,0.008403423,0,5,5,0,15,14,0,26,23,0,0
9501,57 - 99,57,99,36721.03,22.82,5385,26082,0,0.012236808,0.010731602,0,7,6,0,20,17,0,33,29,0,0
9502,57 - 39,57,39,37345.32,23.21,5385,4638,0,0.00213962,0.001876433,0,1,1,0,3,3,0,6,5,0,0
9503,57 - 33,57,33,37650.09,23.39,5385,2338,0,0.001069844,0.000938247,0,1,1,0,2,2,0,3,3,0,0
9504,57 - 86,57,86,38933.74,24.19,5385,122587,0,0.05424509,0.047572595,0,29,26,0,88,77,0,146,128,0,0
9505,57 - 53,57,53,39084.28,24.29,5385,4204,0,0.001853116,0.001625171,0,1,1,0,3,3,0,5,4,0,0
9506,57 - 52,57,52,39180.84,24.35,5385,15173,0,0.006671751,0.005851082,0,4,3,0,11,9,0,18,16,0,0
9507,57 - 113,57,113,39240.38,24.38,5385,46146,0,0.020260167,0.017768036,0,11,10,0,33,29,0,55,48,0,0
9508,57 - 81,57,81,39303.25,24.42,5385,11375,0,0.004986147,0.004372819,0,3,2,0,8,7,0,13,12,0,0
9509,57 - 68,57,68,39585.07,24.60,5385,11884,0,0.005172177,0.004535966,0,3,2,0,8,7,0,14,12,0,0
9510,57 - 104,57,104,40364.79,25.08,5385,13905,0,0.005934859,0.005204833,0,3,3,0,10,8,0,16,14,0,0
9511,57 - 28,57,28,41348.14,25.69,5385,11591,0,0.004829555,0.004235488,0,3,2,0,8,7,0,13,11,0,0
9512,57 - 102,57,102,41892.87,26.03,5385,4229,0,0.001739161,0.001525233,0,1,1,0,3,2,0,5,4,1,2
9513,57 - 91,57,91,42154.20,26.19,5385,30112,0,0.01230668,0.010792879,0,7,6,0,20,17,0,33,29,1,2
9514,57 - 67,57,67,42598.74,26.47,5385,10834,0,0.004381615,0.003842649,0,2,2,0,7,6,0,12,10,0,0
9515,57 - 31,57,31,42667.80,26.51,5385,14736,0,0.005950062,0.005218166,0,3,3,0,10,8,0,16,14,0,0
